original,aggregated
beef offal or meat,Ruminant
broiler environment,Chicken
calf,Ruminant
calf faeces,Ruminant
carcass swab,Chicken
cat,Other
cattle,Ruminant
cattle faeces,Ruminant
CSF,Human
chick,Chicken
chicken,Chicken
chicken offal or meat,Chicken
cows milk,Ruminant
dairy products,Food
dog,Other
duck,Other
environmental waters,Other
farm environment,Other
farm slurry,Other
gazelle,Other
giraffe,Other
goat,Other
goats milk,Other
goose,Other
goose faeces,Other
horse,Other
human blood culture,Human
human stool,Human
human unspecified,Human
lamb,Ruminant
lamb offal or meat,Ruminant
manure,Other
marmoset,Other
ostrich,Other
other animal,Other
other food,Food
pig,Pig
piglet,Pig
pork offal or meat,Pig
potable/drinking water,Other
rabbit,Other
sand (bathing beach),Other
sediments,Other
sheep,Ruminant
sheep faeces,Ruminant
soil,Other
sparrow,Wild bird
starling,Wild bird
turkey,Turkey
turkey offal or meat,Turkey
vegetables,Food
wild bird,Wild bird
Unknown,Unknown
